"orderNumber","occurrenceID","family","scientificName","identificationQualifier","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","eventDate","year","basisOfRecord","lifeStage","organismQuantity","organismQuantityType","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","locality","municipality","stateProvince","island","islandGroup","country","countryCode","recordedBy","identifiedBy","identificationRemarks","occurrenceRemarks","kingdom","taxonID","language","license","rightsHolder","datasetID","institutionCode","datasetName","taxonRank","nomenclaturalCode"
1,"WL:SNAIL:GC:OCC:00000","Geomitridae","Monilearia arguineguinensis",,"Monilearia","arguineguinensis",,"(Seddon & Aparicio, 1998)",1988-04-08,1988,"HumanObservation","adult",3,"exact count",27.7566,-15.6771,25,"Arguineguín","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Henk Menkhorst","Henk Menkhorst",,"empty shell | rocky slope, 10 m","Animalia","checklist_snails_grancanaria:taxon:64c895be3292bbf08afd0512eca9fe31","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
2,"WL:SNAIL:GC:OCC:00001","Enidae","Napaeus isletae",,"Napaeus","isletae",,"Groh & Ibáñez, 1992",2016-08-03,2016,"HumanObservation","adult",1,"exact count",28.160023,-15.43361,25,"East of Playa del Confital (SW La Isleta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"(sub)fossil","Animalia","checklist_snails_grancanaria:taxon:cc84f29ed475ceaaa4eb76cb09616d88","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
3,"WL:SNAIL:GC:OCC:00002","Geomitridae","Monilearia tumulorum",,"Monilearia","tumulorum",,"(Webb & Berthelot, 1833)",2016-08-03,2016,"HumanObservation",,,,28.160023,-15.43361,25,"East of Playa del Confital (SW La Isleta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:3fcb8d31d66206e3c3ca6e86e8f298b8","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
4,"WL:SNAIL:GC:OCC:00003","Helicidae","Hemicycla glasiana",,"Hemicycla","glasiana",,"(Shuttleworth, 1852)",2016-08-03,2016,"HumanObservation",,,,28.160023,-15.43361,25,"East of Playa del Confital (SW La Isleta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"(sub)fossil","Animalia","checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
5,"WL:SNAIL:GC:OCC:00004","Helicidae","Hemicycla saulcyi carta",,"Hemicycla","saulcyi","carta","(J. Mabille, 1882)",2016-08-03,2016,"HumanObservation",,,,28.160023,-15.43361,25,"East of Playa del Confital (SW La Isleta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"(sub)fossil","Animalia","checklist_snails_grancanaria:taxon:b39104bc13d80021ed0849900df258a7","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","subspecies","ICZN"
6,"WL:SNAIL:GC:OCC:00005","Helicidae","Theba pisana",,"Theba","pisana",,"(O.F. Müller, 1774)",2016-08-03,2016,"HumanObservation",,,,28.160023,-15.43361,25,"East of Playa del Confital (SW La Isleta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Theo Ripken",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:ba1598720717ed0f2c48f4c5cd4ae03e","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
7,"WL:SNAIL:GC:OCC:00006","Pomatiidae","Pomatias adjunctus",,"Pomatias","adjunctus",,"(Mousson, 1872)",2016-08-03,2016,"HumanObservation",,,,28.160023,-15.43361,25,"East of Playa del Confital (SW La Isleta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"(sub)fossil","Animalia","checklist_snails_grancanaria:taxon:5f9454cef8f3dba48433d497d3f14cee","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
8,"WL:SNAIL:GC:OCC:00007","Streptaxidae","Gibbulinella aff. dealbata","aff.","Gibbulinella","aff. dealbata",,,2016-08-03,2016,"HumanObservation","juvenile",1,"exact count",28.160023,-15.43361,25,"East of Playa del Confital (SW La Isleta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","shell wider and more solid than G. aff. dewinteri","(sub)fossil","Animalia","checklist_snails_grancanaria:taxon:604812a2ea53f7aac98aadb1e1642768","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
9,"WL:SNAIL:GC:OCC:00008","Trissexodontidae","Caracollina lenticula",,"Caracollina","lenticula",,"(Michaud, 1831)",2016-08-03,2016,"HumanObservation",,,,28.160023,-15.43361,25,"East of Playa del Confital (SW La Isleta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:fdc20a7b515d2326fac0b766ba4cc5b8","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
10,"WL:SNAIL:GC:OCC:00009","Achatinidae","Rumina decollata",,"Rumina","decollata",,"(Linnaeus, 1758)",2016-08-04,2016,"HumanObservation","adult",7,"exact count",28.063725,-15.46271,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:ed523f5acaa5cf7eed990e4102546fc6","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
